,mileage,make,model,fuel,gear,price,hp,year
120,32100,48,302,1,2,37931,333.0,2017
121,74000,72,822,1,1,5555,71.0,2017
122,31500,62,509,1,1,5780,60.0,2017
123,62490,62,509,1,1,6390,60.0,2017
124,100870,69,833,1,1,6445,60.0,2017
125,35450,63,238,1,1,6445,60.0,2017
126,65635,69,833,1,1,6490,60.0,2017
127,83000,68,143,1,1,6500,69.0,2017
128,35000,21,670,1,1,6700,90.0,2017
129,35093,69,833,1,1,6750,60.0,2017
130,66000,27,575,1,1,6799,69.0,2017
131,61000,30,823,1,1,6900,67.0,2017
132,118759,28,333,2,1,6990,95.0,2017
133,31500,72,821,1,1,6999,71.0,2017
134,77403,28,333,2,1,7090,75.0,2017
135,66990,7,108,2,2,31880,272.0,2018
136,73500,7,105,2,2,31980,163.0,2018
137,59990,7,104,2,2,32940,218.0,2018
138,79300,48,362,2,2,34775,204.0,2018
139,46300,7,578,2,2,34890,190.0,2018
140,54496,7,107,2,2,35480,231.0,2018
141,51878,69,723,2,2,35490,239.0,2018
142,13400,18,133,1,2,35990,300.0,2018
143,85200,69,124,2,2,37700,224.0,2018
144,49900,7,108,2,2,37950,320.0,2018
145,39580,7,581,2,2,39444,190.0,2018
146,49394,7,581,2,2,42480,190.0,2018
147,81750,7,665,1,2,42675,354.0,2018
148,68900,7,581,2,2,43900,286.0,2018
149,72500,7,665,1,2,44450,354.0,2018
150,109590,7,584,2,2,44850,272.0,2018
151,28650,8,481,1,2,44980,370.0,2018
152,93390,7,107,2,2,44984,286.0,2018
153,60188,70,795,2,2,45990,235.0,2018
154,52070,8,782,2,2,46890,265.0,2018
155,13710,28,337,1,2,26480,150.0,2019
156,27949,7,104,2,2,26880,150.0,2019
157,22500,28,337,1,2,26880,150.0,2019
158,57501,8,780,2,2,26970,190.0,2019
159,34450,69,723,2,2,26980,150.0,2019
160,35950,69,696,2,2,27440,150.0,2019
161,12178,7,104,1,1,27440,150.0,2019
162,41365,69,556,2,2,27490,190.0,2019
163,31900,48,771,2,2,27600,163.0,2019
164,45700,7,104,2,2,27980,150.0,2019
165,9243,62,133,1,2,28250,150.0,2019
166,8650,28,461,2,2,28980,179.0,2019
167,17615,63,454,1,2,28990,150.0,2019
168,4016,48,354,1,2,29111,211.0,2019
169,9290,28,461,2,2,29980,179.0,2019
170,8650,28,461,2,2,29980,179.0,2019
171,22900,62,119,1,2,29990,150.0,2019
172,2955,7,104,2,2,29994,150.0,2019
173,1060,28,735,2,1,30452,131.0,2019
174,27500,8,35,2,2,30675,190.0,2019
175,23490,7,107,3,2,59440,367.0,2020
176,19000,7,581,3,2,59850,367.0,2020
177,31420,7,600,1,2,59985,400.0,2020
178,23402,7,714,1,2,64885,400.0,2020
179,3850,34,328,1,2,64900,381.0,2020
180,11650,7,714,1,2,65890,400.0,2020
181,11100,58,496,1,2,65900,245.0,2020
182,25300,69,727,2,2,66740,286.0,2020
183,23490,7,665,2,2,66790,347.0,2020
184,999,7,109,3,2,66890,367.0,2020
185,22500,7,665,2,2,67840,347.0,2020
186,8200,7,109,2,2,69890,286.0,2020
187,11700,7,600,1,2,69890,400.0,2020
188,18150,7,647,2,2,69980,347.0,2020
189,19950,69,705,2,2,70980,150.0,2020
190,16800,7,584,2,2,81890,286.0,2020
191,41100,7,586,2,2,81890,286.0,2020
192,29150,7,586,1,2,81890,340.0,2020
193,28400,7,586,2,2,83890,286.0,2020
194,100,27,551,1,1,10600,69.0,2021
195,15,27,551,3,1,10680,69.0,2021
196,20,68,143,1,1,10823,72.0,2021
197,15,27,551,3,1,10980,69.0,2021
198,15,27,551,3,1,10980,69.0,2021
199,10,68,143,1,1,10997,72.0,2021
200,9,68,143,1,1,11490,72.0,2021
201,9,68,143,1,1,11490,72.0,2021
202,9,68,143,1,1,11490,72.0,2021
203,100,30,823,1,1,11499,67.0,2021
204,10,68,143,1,1,11790,72.0,2021
205,10,36,559,1,1,11950,84.0,2021
206,10,68,143,1,1,11990,72.0,2021
207,10,68,143,1,1,11990,72.0,2021
208,10,68,143,1,1,11990,72.0,2021
209,10,68,143,1,1,11990,72.0,2021
210,10,68,143,1,1,11990,72.0,2021
211,10,68,143,1,1,11990,72.0,2021
212,10,68,143,1,1,11990,72.0,2021
213,10,68,143,1,1,11990,72.0,2021
214,132500,69,394,1,2,7800,122.0,2011
215,132500,69,394,1,2,7800,122.0,2011
216,69019,55,60,1,1,7850,156.0,2011
217,123600,28,337,1,1,7885,150.0,2011
218,95963,53,132,1,1,7900,120.0,2011
219,71908,52,587,1,1,7900,117.0,2011
220,93510,36,230,1,1,7900,90.0,2011
221,131322,69,556,1,1,7900,122.0,2011
222,228000,69,556,2,1,7900,170.0,2011
223,61999,29,240,1,1,7949,99.0,2011
224,87216,69,394,1,1,7970,122.0,2011
225,120600,28,337,1,1,7970,150.0,2011
226,119850,69,561,1,2,7990,86.0,2011
227,154500,69,556,1,1,7990,160.0,2011
228,92800,60,506,1,1,7990,131.0,2011
229,118210,69,394,1,1,7990,160.0,2011
230,86000,53,813,1,1,7998,116.0,2011
231,24170,68,134,1,2,7999,132.0,2011
232,188758,69,556,2,1,7999,140.0,2011
233,107001,69,553,1,1,7999,122.0,2011
234,81179,28,176,1,1,7900,105.0,2012
235,98669,68,806,3,2,7900,75.0,2012
236,86747,63,332,1,1,7900,86.0,2012
237,147500,63,691,2,1,7900,140.0,2012
238,140000,68,140,2,1,7950,124.0,2012
239,89400,69,398,1,1,7980,122.0,2012
240,100000,63,536,1,1,7980,122.0,2012
241,14300,53,274,1,2,7990,101.0,2012
242,102000,53,132,1,1,7990,179.0,2012
244,98600,62,121,1,2,7990,160.0,2012
245,123000,28,517,1,1,7990,160.0,2012
246,70600,68,806,1,2,7990,99.0,2012
247,35300,36,230,1,1,7990,99.0,2012
248,128000,69,553,1,1,7990,122.0,2012
249,91000,69,436,1,1,7990,105.0,2012
250,100000,30,827,1,1,7999,135.0,2012
251,105531,68,134,1,2,7999,99.0,2012
252,110405,69,556,1,1,7999,122.0,2012
253,261000,8,35,2,2,8000,184.0,2012
254,82822,68,806,3,2,8500,75.0,2013
255,35000,63,610,1,1,8500,105.0,2013
256,148000,16,404,2,2,8500,150.0,2013
257,44700,53,116,1,1,8500,69.0,2013
258,77820,46,26,1,1,8550,105.0,2013
259,31000,28,337,1,1,8679,125.0,2013
260,46000,69,561,1,1,8699,69.0,2013
261,50000,28,149,1,1,8699,101.0,2013
262,75800,55,13,1,1,8700,82.0,2013
263,122450,66,668,2,1,8700,135.0,2013
264,54689,53,132,1,1,8740,140.0,2013
265,98000,29,240,1,1,8790,99.0,2013
266,55135,29,435,1,1,8800,99.0,2013
267,53998,30,824,1,1,8880,86.0,2013
268,76796,55,13,1,1,8885,120.0,2013
269,84000,63,807,2,1,8888,110.0,2013
270,48795,63,624,1,2,8899,105.0,2013
271,85320,53,132,1,1,8900,140.0,2013
272,118070,68,806,3,2,8900,75.0,2013
273,59100,36,764,1,1,8900,90.0,2013
274,85183,53,132,1,1,8898,140.0,2014
275,53795,69,833,1,1,8900,60.0,2014
276,74450,16,285,1,1,8900,156.0,2014
277,167000,69,394,2,1,8950,110.0,2014
278,182150,69,394,1,1,8980,140.0,2014
279,68067,55,32,1,1,8985,125.0,2014
280,49252,28,337,1,1,8990,125.0,2014
281,124800,53,507,1,2,8990,140.0,2014
282,91784,28,149,1,1,8990,101.0,2014
283,82500,60,224,2,1,8990,90.0,2014
284,98000,30,827,1,1,8990,135.0,2014
285,34100,36,559,1,2,8990,86.0,2014
287,27241,60,506,2,1,8990,110.0,2014
288,90173,28,337,1,1,8990,101.0,2014
289,54210,60,241,1,2,8990,120.0,2014
290,123559,55,13,2,2,8995,92.0,2014
291,81430,16,184,1,2,8999,82.0,2014
292,73000,62,473,1,1,9000,110.0,2014
293,56700,14,742,1,1,9000,140.0,2014
294,68220,63,238,1,1,8900,75.0,2015
295,62665,53,274,1,2,8950,90.0,2015
296,172000,69,556,2,1,8990,120.0,2015
297,53000,63,610,1,1,8990,86.0,2015
298,175488,28,517,2,1,8990,120.0,2015
299,102690,21,296,1,1,8990,125.0,2015
300,49249,60,506,1,1,8990,132.0,2015
301,30100,36,613,1,1,8990,86.0,2015
302,69120,36,613,2,1,8990,90.0,2015
304,285000,63,536,2,2,9000,184.0,2015
305,98540,27,675,2,1,9200,128.0,2015
306,87200,60,673,1,1,9250,132.0,2015
307,20000,72,821,1,2,9299,71.0,2015
308,57596,52,573,1,1,9440,116.0,2015
309,51833,28,337,2,1,9440,95.0,2015
310,43693,55,16,1,1,9450,110.0,2015
311,109750,21,296,1,1,9450,105.0,2015
312,88900,69,219,1,1,9450,86.0,2015
313,33000,60,812,4,2,8495,58.0,2016
314,36300,60,241,1,1,8499,90.0,2016
315,36300,60,241,1,1,8499,90.0,2016
316,36210,60,241,1,1,8499,73.0,2016
317,101850,53,507,2,1,8690,95.0,2016
318,13832,16,180,1,1,8690,82.0,2016
319,49950,62,428,1,1,8690,90.0,2016
320,98700,53,132,2,1,8770,110.0,2016
321,190543,48,237,2,1,8799,90.0,2016
322,80000,62,473,2,1,8800,110.0,2016
323,109859,28,333,1,1,8840,125.0,2016
324,82000,63,332,1,1,8850,110.0,2016
325,68300,60,506,2,1,8850,110.0,2016
326,57644,63,332,1,1,8850,90.0,2016
327,110412,53,132,2,1,8880,95.0,2016
328,34955,52,508,1,1,8880,80.0,2016
329,149889,53,432,2,2,8890,136.0,2016
330,138965,69,394,2,1,8890,110.0,2016
331,69934,63,332,2,1,8890,90.0,2016
332,113000,69,400,2,1,8900,110.0,2016
333,3070,30,823,1,1,7950,67.0,2017
334,60300,55,16,1,1,7950,82.0,2017
335,79883,28,333,1,1,7985,101.0,2017
336,36955,52,508,1,1,7990,80.0,2017
337,24162,30,823,1,1,7990,67.0,2017
338,78588,63,332,1,1,7990,60.0,2017
339,63200,60,241,1,1,7990,90.0,2017
340,68753,52,508,1,1,7990,80.0,2017
341,29731,68,143,1,1,7990,69.0,2017
342,29712,60,745,1,1,7990,69.0,2017
343,45401,63,238,1,1,7990,75.0,2017
344,42341,28,446,1,1,7990,69.0,2017
345,68360,68,143,1,1,7990,69.0,2017
346,28864,60,241,1,1,7995,73.0,2017
348,42000,50,683,1,1,8000,80.0,2017
349,46073,28,333,1,1,8090,71.0,2017
350,16000,68,143,1,1,8100,69.0,2017
351,27547,27,54,1,1,8190,69.0,2017
352,28323,27,54,1,1,8190,69.0,2017
353,6761,69,219,1,1,19490,125.0,2018
354,44626,63,536,1,1,19940,179.0,2018
355,35000,29,240,1,1,19950,182.0,2018
356,23100,50,315,1,1,21490,163.0,2018
357,29658,53,416,2,2,21680,120.0,2018
358,86886,69,556,2,2,24869,239.0,2018
359,47000,34,799,1,2,24950,200.0,2018
360,37076,63,536,1,2,27890,245.0,2018
361,51136,69,727,2,2,28780,204.0,2018
362,32900,69,554,2,2,29990,190.0,2018
363,26890,7,109,2,2,41830,326.0,2018
364,62302,21,670,1,1,4700,73.0,2018
365,3500,54,394,4,1,5500,38.0,2018
366,84000,27,575,1,1,5990,69.0,2018
367,17896,50,683,1,1,6490,71.0,2018
368,78000,69,833,1,1,6490,60.0,2018
369,191533,53,244,2,1,6722,105.0,2018
370,84800,63,238,1,1,6850,60.0,2018
371,62608,69,833,1,1,6930,60.0,2018
372,8100,48,300,7,2,45890,194.0,2019
373,50307,7,581,2,2,45950,231.0,2019
374,26493,48,304,1,2,46777,367.0,2019
375,70500,41,607,3,2,47490,313.0,2019
